DATE,CO2 Concentration,Global Temperature Anomalies,Arctic Sea Ice Extent,Drought Severity Index,Sea Level Rise,Wildfire Burn Area
5-Jan,378.73,0.041,13.66,-0.55,9.9,49.52
5-Feb,379.19,-0.098,14.37,-0.625,15.54,21.56
5-Mar,379.82,-0.009,14.69,-0.61,15.28,15.79
5-Apr,380.31,-0.013,14.09,-0.7,12.855,15.13
5-May,380.42,-0.006,12.91,-0.744,17.14,21.97
5-Jun,379.6,0.012,11.16,-0.675,12.89,34.32
5-Jul,377.94,-0.025,8.65,-0.736,16.55,53.09
5-Aug,376.73,-0.111,6.3,-0.751,13.7,56.25
5-Sep,376.77,-0.069,5.5,-0.888,18.105,49.48
5-Oct,378.08,0.021,7.35,-0.88,17.08,37.99
5-Nov,379.54,-0.022,10.22,-0.896,20.12,48.72
5-Dec,380.52,0.026,12.23,-0.924,18.74,52.68
6-Jan,381.33,-0.018,13.47,-0.312,19.08,33.77
6-Feb,381.95,0.217,14.32,-0.163,18.05,16.1
6-Mar,382.33,-0.054,14.42,-0.158,18.03,14.64
6-Apr,382.66,-0.162,13.91,-0.143,16.32,12.22
6-May,382.61,-0.198,12.52,-0.187,16.76,18.12
6-Jun,381.74,-0.003,10.92,-0.334,19.73,33.84
6-Jul,380.07,-0.154,8.46,-0.407,20.04,41.29
6-Aug,378.49,-0.115,6.5,-0.4,16.97,58.68
6-Sep,378.61,-0.176,5.86,-0.418,20.01,56.5
6-Oct,380.04,-0.137,7.54,-0.266,19.4,35.29
6-Nov,381.41,-0.103,9.66,-0.185,17.57,52.73
6-Dec,382.38,-0.056,11.95,-0.132,20.93,57.14
7-Jan,383.03,0.154,13.7,-0.121,16.31,42.66
7-Feb,383.54,0.043,14.51,-0.212,17.11,27.1
7-Mar,384.02,-0.034,14.54,-0.196,16.5,20.85
7-Apr,384.28,0.079,13.85,-0.295,21.54,10.92
7-May,384.12,-0.066,12.78,-0.248,15.27,20.38
7-Jun,383.26,-0.033,11.22,-0.224,19.12,30.09
7-Jul,381.55,-0.031,7.94,-0.24,16.34,48.44
7-Aug,380.29,-0.112,5.34,-0.251,16.76,60.4
7-Sep,380.69,-0.228,4.27,-0.225,15.26,71.08
7-Oct,382.1,-0.136,6.04,-0.202,20.04,41.56
7-Nov,383.45,-0.139,9.76,-0.25,15.37,36.85
7-Dec,384.46,-0.253,12.03,-0.15,23.16,52.02
8-Jan,385.23,-0.382,13.89,-0.016,19.34,40.59
8-Feb,385.75,-0.338,14.95,-0.062,20.16,22.03
8-Mar,386.15,-0.039,15.18,-0.086,21.96,17.83
8-Apr,386.53,-0.177,14.35,-0.213,19.86,19.43
8-May,386.48,-0.17,12.97,-0.381,20.06,19.45
8-Jun,385.57,-0.246,11.21,-0.293,23.1,28.43
8-Jul,384.09,-0.126,8.68,-0.185,24.63,40.94
8-Aug,382.77,-0.231,5.91,-0.185,21.46,52.58
8-Sep,382.54,-0.139,4.69,-0.083,21.055,59.64
8-Oct,383.67,-0.143,7.35,0.017,22.385,36.91
8-Nov,385.18,-0.113,10.34,0.061,21.41,39.27
8-Dec,386.27,-0.065,12.36,0.097,27.18,45.97
9-Jan,387.03,-0.038,13.91,-0.013,23.055,29.85
9-Feb,387.48,0.058,14.81,-0.004,22.35,19.13
9-Mar,387.71,-0.099,14.98,-0.007,23.33,14.58
9-Apr,387.99,-0.197,14.5,-0.103,25.81,20.03
9-May,387.95,-0.077,13.19,-0.231,28.16,14.84
9-Jun,386.96,-0.005,11.32,-0.278,23.73,27.48
9-Jul,385.02,0.058,8.47,-0.391,25.15,40.36
9-Aug,383.63,-0.024,6.14,-0.45,27.08,47.08
9-Sep,383.93,-0.039,5.26,-0.448,26.92,46.84
9-Oct,385.49,-0.091,6.92,-0.437,29.61,31.11
9-Nov,386.94,-0.001,9.77,-0.424,28.47,40.47
9-Dec,387.84,0.061,12.2,-0.244,26.86,48.71
10-Jan,388.62,0.067,13.74,-0.264,26.84,36.08
10-Feb,389.33,0.195,14.58,-0.241,21.69,17.84
10-Mar,389.68,0.124,15.14,-0.307,31.7,17.52
10-Apr,389.98,0.067,14.66,-0.368,25.8,11.45
10-May,389.95,-0.004,12.87,-0.239,25.97,13.4
10-Jun,389.01,-0.034,10.59,-0.16,28.12,33.08
10-Jul,387.35,-0.09,8.07,-0.029,27.04,43.39
10-Aug,386.23,-0.045,5.87,0.022,28.57,68.09
10-Sep,386.7,-0.067,4.87,0.116,25.88,64.15
10-Oct,388.25,-0.08,6.98,0.066,24.04,36.74
10-Nov,389.61,0.052,9.61,0.197,29.27,28.85
10-Dec,390.34,-0.107,11.83,0.262,21.46,45.41
11-Jan,390.85,-0.129,13.46,0.111,23.94,35.23
11-Feb,391.28,-0.212,14.36,0.233,23.62,21.71
11-Mar,391.67,-0.165,14.55,0.104,23.77,15.32
11-Apr,392.05,-0.018,14.11,0.043,23.74,14.76
11-May,392.07,-0.103,12.68,-0.126,20.71,18.39
11-Jun,391.13,-0.026,10.75,-0.117,25.29,31.14
11-Jul,389.19,0.106,7.72,-0.206,26.24,45.06
11-Aug,387.86,0.063,5.5,-0.342,26.15,56.55
11-Sep,388.26,-0.11,4.56,-0.447,27.03,80.78
11-Oct,389.83,-0.11,6.46,-0.341,27.89,53.63
11-Nov,391.2,-0.265,9.77,-0.333,25.89,33.55
11-Dec,392.04,-0.186,12.15,-0.446,27.73,51.78
12-Jan,392.61,-0.195,13.73,-0.535,28.65,40.56
12-Feb,393.2,-0.171,14.55,-0.618,31.71,24.42
12-Mar,393.72,-0.234,15.2,-0.676,28.7,16.48
12-Apr,393.99,-0.025,14.63,-0.554,32.89,16.97
12-May,393.88,0.061,13.01,-0.558,33.24,22.15
12-Jun,392.84,0.001,10.67,-0.577,36.13,39.75
12-Jul,391,-0.09,7.67,-0.621,35.62,45.29
12-Aug,389.89,-0.03,4.72,-0.585,38.03,55.27
12-Sep,390.55,0.009,3.57,-0.591,36.48,59.4
12-Oct,392.16,0.07,5.89,-0.555,38.83,48.16
12-Nov,393.56,0.011,9.39,-0.474,36.86,38.96
12-Dec,394.39,-0.134,12.01,-0.478,40.53,45.17
13-Jan,395.07,0.054,13.7,-0.54,39.11,41.13
13-Feb,395.69,-0.054,14.72,-0.557,39.94,19.11
13-Mar,396.28,-0.022,15.03,-0.584,41.3,11.61
13-Apr,396.74,-0.14,14.3,-0.585,36.89,13.78
13-May,396.75,-0.084,13,-0.48,41.67,19.15
13-Jun,395.95,0.016,11.36,-0.485,37.95,31.17
13-Jul,394.46,-0.155,8.13,-0.518,37.09,37.52
13-Aug,393.23,-0.067,6.01,-0.594,37.97,48.44
13-Sep,393.2,0.038,5.21,-0.617,37.43,40.35
13-Oct,394.5,-0.057,7.45,-0.736,36.31,25.71
13-Nov,395.96,0.034,9.94,-0.56,41.15,28
13-Dec,396.87,0.066,12.18,-0.538,37.4,39.1
14-Jan,397.51,0.045,13.65,-0.594,38.5,34.04
14-Feb,397.97,-0.153,14.42,-0.623,38.99,20.38
14-Mar,398.27,-0.1,14.76,-0.653,41.56,21.27
14-Apr,398.63,0.056,14.09,-0.606,40.68,14.56
14-May,398.69,0.13,12.7,-0.499,38.21,14.42
14-Jun,397.72,-0.004,11.03,-0.494,38.52,27.93
14-Jul,396.13,0.01,8.11,-0.606,42.86,41.42
14-Aug,395.02,0.076,6.08,-0.557,41.24,48.96
14-Sep,395.12,0.123,5.22,-0.562,42.62,44.91
14-Oct,396.38,0.087,7.23,-0.518,41.59,41.37
14-Nov,397.86,-0.018,10.11,-0.414,41.8,31.2
14-Dec,398.83,0.102,12.35,-0.379,39.77,40.04
15-Jan,399.56,0.097,13.6,,41.83,33.86
15-Feb,400.12,0.176,14.4,,47.04,18.55
15-Mar,400.57,0.1,14.37,,47.32,16.65
